cgpa,resume_score,placement
5.8,8.06,0
6.53,7.64,0
6.16,5.77,0
6.05,7.13,0
8.22,6.18,1
7.76,5.68,1
6.27,6.47,0
5.51,6.15,0
7.46,7.67,1
6.19,7.3,0
7.36,7.15,1
5.92,7.02,0
5.87,7.96,0
8.43,7.73,1
8.87,7.19,1
8.07,7.48,1
8.16,7.56,1
9.05,8.21,1
6,8.72,0
7.5,6.19,1
8.25,5.32,1
8.68,5.15,1
6.9,6.91,1
8.21,7.95,1
5.47,5.92,0
8.1,5.44,1
5.83,5.21,0
7.05,8.14,1
5.54,6.57,0
5.46,6.73,0
8.22,6.74,1
6.54,7.39,0
5.9,7.5,0
6,7.16,0
5.92,7.18,0
6.94,6.87,1
6.13,6.43,0
6.34,7.21,0
6.47,7.37,0
5.95,7.57,0
5.87,6.64,0
6.89,7.96,1
5.75,8.43,0
8.65,7.58,1
7.93,8.09,1
6.04,8.75,0
8.35,8.02,1
6.59,6.81,1
6.01,7.49,0
8.06,9.06,1
7.12,7.41,1
7.34,8.22,1
7.63,7.98,1
5.76,6.48,0
5.54,7.36,0
6.34,7.94,1
9.4,5.5,1
5.88,6.92,0
5.79,5.66,0
5.27,7.28,0
